,angles,points,dist,comp_time,connections,length
0,1,250,0.9,0.111926,936,0
1,2,250,0.9,0.387589,4280,17.5589
2,4,250,0.9,1.20552,17648,14.5758
3,8,250,0.9,4.21276,73032,14.0381
4,1,500,0.9,0.330993,1476,0
5,2,500,0.9,0.869369,6630,17.5589
6,4,500,0.9,2.60812,25998,14.5758
7,8,500,0.9,10.3545,107190,14.0381
8,1,1000,0.9,0.491809,2132,0
9,2,1000,0.9,1.46729,8964,17.5589
10,4,1000,0.9,7.18336,34910,14.401
11,8,1000,0.9,27.3347,143078,13.9855
12,1,4000,0.9,2.81553,6014,0
13,2,4000,0.9,9.82583,15394,17.5589
14,4,4000,0.9,37.6429,53750,14.401
15,8,4000,0.9,155.007,234092,13.6739
16,1,250,1.0,0.179172,1440,0
17,2,250,1.0,0.541153,6212,16.2943
18,4,250,1.0,1.62566,25376,14.5758
19,8,250,1.0,5.42286,104620,14.0753
20,1,500,1.0,0.34479,2380,0
21,2,500,1.0,0.928967,9970,16.2943
22,4,500,1.0,3.73846,39942,14.5758
23,8,500,1.0,14.89,162808,14.0753
24,1,1000,1.0,0.709793,3490,0
25,2,1000,1.0,2.65002,13944,15.7811
26,4,1000,1.0,10.3719,54442,14.5758
27,8,1000,1.0,36.4863,220832,14.1158
28,1,4000,1.0,3.32012,8742,0
29,2,4000,1.0,13.8841,23116,15.7811
30,4,4000,1.0,52.4918,84556,14.5758
31,8,4000,1.0,194.529,357068,13.8042
32,1,250,1.1,0.1628,2082,0
33,2,250,1.1,0.516043,8688,16.0724
34,4,250,1.1,2.18292,35268,14.3966
35,8,250,1.1,8.07213,145216,14.0107
36,1,500,1.1,0.416242,3286,0
37,2,500,1.1,1.45231,13610,15.9069
38,4,500,1.1,6.44821,54908,14.3966
39,8,500,1.1,20.9758,224410,14.0107
40,1,1000,1.1,0.898029,4806,0
41,2,1000,1.1,3.45489,19374,15.8097
42,4,1000,1.1,12.9047,76486,14.2789
43,8,1000,1.1,46.7327,310420,13.9081
44,1,4000,1.1,3.91838,10912,0
45,2,4000,1.1,17.2706,31726,15.8097
46,4,4000,1.1,68.8125,122190,14.2789
47,8,4000,1.1,242.384,507786,13.5582
