,angles,points,dist,comp_time,connections,length
0,36,250,0.9,0.015831,1338,0
1,360,250,0.9,0.017922,1338,0
2,36,500,0.9,0.040384,3262,0
3,360,500,0.9,0.040581,3262,0
4,36,1000,0.9,0.092783,7833,0
5,360,1000,0.9,0.097952,7833,0
6,36,4000,0.9,0.504174,41535,0
7,360,4000,0.9,0.480542,41535,0
8,36,250,1.0,0.019449,1559,0
9,360,250,1.0,0.021212,1559,0
10,36,500,1.0,0.040598,3967,0
11,360,500,1.0,0.044214,3967,0
12,36,1000,1.0,0.101269,9711,0
13,360,1000,1.0,0.10694,9711,0
14,36,4000,1.0,0.53934,51410,0
15,360,4000,1.0,0.553277,51410,0
16,36,250,1.1,0.019428,1902,0
17,360,250,1.1,0.02521,1902,0
18,36,500,1.1,0.045247,4757,0
19,360,500,1.1,0.052194,4757,0
20,36,1000,1.1,0.118528,11545,0
21,360,1000,1.1,0.09893,11545,0
22,36,4000,1.1,0.517009,61677,0
23,360,4000,1.1,0.63826,61677,0
